#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,,,,,,,,,
GCA_005819175.1,PRJEB31555,SAMEA5396114,VAGR00000000.1,na,470,470,Acinetobacter baumannii,strain=Aci00856,na,latest,Contig,Major,Full,2019/5/24,ASM581917v1,Universitaetsklinikum Freiburg,GCF_005819175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/819/175/GCA_005819175.1_ASM581917v1,na,na,na,haploid,bacteria,3952743,3952743,39,0,61,61,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/9,3865,3706,77,na,,,,,,,,,
GCA_005819315.1,PRJEB31555,SAMEA5396106,VAGJ00000000.1,na,470,470,Acinetobacter baumannii,strain=Aci00866,na,latest,Contig,Major,Full,2019/5/24,ASM581931v1,Universitaetsklinikum Freiburg,GCF_005819315.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/819/315/GCA_005819315.1_ASM581931v1,na,na,na,haploid,bacteria,4040321,4040321,39,0,98,98,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/9,4024,3838,71,na,,,,,,,,,
GCA_005819595.1,PRJEB31555,SAMEA5396119,VAGW00000000.1,na,470,470,Acinetobacter baumannii,strain=Aci00855,na,latest,Contig,Major,Full,2019/5/24,ASM581959v1,Universitaetsklinikum Freiburg,GCF_005819595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/819/595/GCA_005819595.1_ASM581959v1,na,na,na,haploid,bacteria,3953406,3953406,39,0,65,65,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/9,3863,3702,75,na,,,,,,,,,
GCA_005819635.1,PRJEB31555,SAMEA5396118,VAGV00000000.1,na,470,470,Acinetobacter baumannii,strain=Aci00851,na,latest,Contig,Major,Full,2019/5/24,ASM581963v1,Universitaetsklinikum Freiburg,GCF_005819635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/819/635/GCA_005819635.1_ASM581963v1,na,na,na,haploid,bacteria,3921795,3921795,39,0,68,68,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/9,3830,3667,76,na,,,,,,,,,
GCA_005819645.1,PRJEB31555,SAMEA5396112,VAGP00000000.1,na,470,470,Acinetobacter baumannii,strain=Aci00833,na,latest,Contig,Major,Full,2019/5/24,ASM581964v1,Universitaetsklinikum Freiburg,GCF_005819645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/819/645/GCA_005819645.1_ASM581964v1,na,na,na,haploid,bacteria,3882311,3882311,39,0,82,82,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/9,3849,3673,72,na,,,,,,,,,
GCA_005819685.1,PRJEB31555,SAMEA5396101,VAGE00000000.1,na,470,470,Acinetobacter baumannii,strain=Aci00859,na,latest,Contig,Major,Full,2019/5/24,ASM581968v1,Universitaetsklinikum Freiburg,GCF_005819685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/819/685/GCA_005819685.1_ASM581968v1,na,na,na,haploid,bacteria,4181765,4181765,39,0,92,92,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/9,4156,3980,76,na,,,,,,,,,
GCA_005863305.1,PRJNA269675,SAMN11394729,VBXH00000000.1,na,470,470,Acinetobacter baumannii,strain=SCPM-O-B-8558(3178),na,latest,Contig,Major,Full,2019/5/22,ASM586330v1,SRCAMB,GCF_005863305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/863/305/GCA_005863305.1_ASM586330v1,na,na,na,haploid,bacteria,3775383,3775383,39,0,92,92,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/17,3697,3560,70,na,,,,,,,,,
GCA_005863345.1,PRJNA269675,SAMN11394731,VBXJ00000000.1,na,470,470,Acinetobacter baumannii,strain=SCPM-O-B-8561(5720),na,latest,Contig,Major,Full,2019/5/22,ASM586334v1,SRCAMB,GCF_005863345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/863/345/GCA_005863345.1_ASM586334v1,na,na,na,haploid,bacteria,4005515,4005515,39,0,87,87,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/17,3939,3800,71,na,,,,,,,,,
GCA_005863385.1,PRJNA269675,SAMN11394737,VBXP00000000.1,na,470,470,Acinetobacter baumannii,strain=SCPM-O-B-8568(5824),na,latest,Contig,Major,Full,2019/5/22,ASM586338v1,SRCAMB,GCF_005863385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/863/385/GCA_005863385.1_ASM586338v1,na,na,na,haploid,bacteria,4006170,4006170,39,0,78,78,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019/5/17,3943,3802,71,na,,,,,,,,,
GCA_006365355.1,PRJNA433073,SAMN08471777,PRFH00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S44,na,latest,Contig,Major,Full,2019/6/19,ASM636535v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/355/GCA_006365355.1_ASM636535v1,na,na,na,haploid,bacteria,3995420,3995420,39,0,56,56,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365365.1,PRJNA433073,SAMN08471780,PRFE00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S05,na,latest,Contig,Major,Full,2019/6/19,ASM636536v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/365/GCA_006365365.1_ASM636536v1,na,na,na,haploid,bacteria,3928153,3928153,39,0,41,41,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365385.1,PRJNA433073,SAMN08471779,PRFF00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S48,na,latest,Contig,Major,Full,2019/6/19,ASM636538v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/385/GCA_006365385.1_ASM636538v1,na,na,na,haploid,bacteria,4062972,4062972,39,0,98,98,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365405.1,PRJNA433073,SAMN08471776,PRFI00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S43,na,latest,Contig,Major,Full,2019/6/19,ASM636540v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/405/GCA_006365405.1_ASM636540v1,na,na,na,haploid,bacteria,3853267,3853267,39,0,53,53,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365455.1,PRJNA433073,SAMN08471773,PRFL00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S40,na,latest,Contig,Major,Full,2019/6/19,ASM636545v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365455.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/455/GCA_006365455.1_ASM636545v1,na,na,na,haploid,bacteria,4064385,4064385,39,0,49,49,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365465.1,PRJNA433073,SAMN08471775,PRFJ00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S42,na,latest,Contig,Major,Full,2019/6/19,ASM636546v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/465/GCA_006365465.1_ASM636546v1,na,na,na,haploid,bacteria,3943530,3943530,39,0,54,54,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365495.1,PRJNA433073,SAMN08471766,PRFS00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S33,na,latest,Contig,Major,Full,2019/6/19,ASM636549v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365495.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/495/GCA_006365495.1_ASM636549v1,na,na,na,haploid,bacteria,3940814,3940814,39,0,59,59,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365515.1,PRJNA433073,SAMN08471772,PRFM00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S04,na,latest,Contig,Major,Full,2019/6/19,ASM636551v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365515.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/515/GCA_006365515.1_ASM636551v1,na,na,na,haploid,bacteria,3948004,3948004,39,0,55,55,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365525.1,PRJNA433073,SAMN08471768,PRFQ00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S35,na,latest,Contig,Major,Full,2019/6/19,ASM636552v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/525/GCA_006365525.1_ASM636552v1,na,na,na,haploid,bacteria,4006919,4006919,39,0,49,49,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365555.1,PRJNA433073,SAMN08471765,PRFT00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S32,na,latest,Contig,Major,Full,2019/6/19,ASM636555v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/555/GCA_006365555.1_ASM636555v1,na,na,na,haploid,bacteria,3949147,3949147,39,0,73,73,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365565.1,PRJNA433073,SAMN08471764,PRFU00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S31,na,latest,Contig,Major,Full,2019/6/19,ASM636556v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/565/GCA_006365565.1_ASM636556v1,na,na,na,haploid,bacteria,4034505,4034505,39,0,62,62,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365575.1,PRJNA433073,SAMN08471762,PRFW00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S03,na,latest,Contig,Major,Full,2019/6/19,ASM636557v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/575/GCA_006365575.1_ASM636557v1,na,na,na,haploid,bacteria,3978248,3978248,39,0,55,55,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365585.1,PRJNA433073,SAMN08471763,PRFV00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S30,na,latest,Contig,Major,Full,2019/6/19,ASM636558v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/585/GCA_006365585.1_ASM636558v1,na,na,na,haploid,bacteria,4081027,4081027,39,0,34,34,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365635.1,PRJNA433073,SAMN08471761,PRFX00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S29,na,latest,Contig,Major,Full,2019/6/19,ASM636563v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/635/GCA_006365635.1_ASM636563v1,na,na,na,haploid,bacteria,4095652,4095652,39,0,46,46,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365655.1,PRJNA433073,SAMN08471754,PRGE00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S18,na,latest,Contig,Major,Full,2019/6/19,ASM636565v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/655/GCA_006365655.1_ASM636565v1,na,na,na,haploid,bacteria,3971513,3971513,39,0,52,52,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365665.1,PRJNA433073,SAMN08471760,PRFY00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S27,na,latest,Contig,Major,Full,2019/6/19,ASM636566v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/665/GCA_006365665.1_ASM636566v1,na,na,na,haploid,bacteria,3980200,3980200,39,0,57,57,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365675.1,PRJNA433073,SAMN08471755,PRGD00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S19,na,latest,Contig,Major,Full,2019/6/19,ASM636567v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/675/GCA_006365675.1_ASM636567v1,na,na,na,haploid,bacteria,3969215,3969215,39,0,48,48,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365685.1,PRJNA433073,SAMN08471758,PRGA00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S25,na,latest,Contig,Major,Full,2019/6/19,ASM636568v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/685/GCA_006365685.1_ASM636568v1,na,na,na,haploid,bacteria,3966654,3966654,39,0,49,49,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365735.1,PRJNA433073,SAMN08471752,PRGG00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S15,na,latest,Contig,Major,Full,2019/6/19,ASM636573v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/735/GCA_006365735.1_ASM636573v1,na,na,na,haploid,bacteria,3974620,3974620,39,0,54,54,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365745.1,PRJNA433073,SAMN08471750,PRGI00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S13,na,latest,Contig,Major,Full,2019/6/19,ASM636574v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/745/GCA_006365745.1_ASM636574v1,na,na,na,haploid,bacteria,3990761,3990761,39,0,65,65,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365775.1,PRJNA433073,SAMN08471748,PRGK00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S11,na,latest,Contig,Major,Full,2019/6/19,ASM636577v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/775/GCA_006365775.1_ASM636577v1,na,na,na,haploid,bacteria,3943830,3943830,39,0,59,59,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365795.1,PRJNA433073,SAMN08471747,PRGL00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S10,na,latest,Contig,Major,Full,2019/6/19,ASM636579v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/795/GCA_006365795.1_ASM636579v1,na,na,na,haploid,bacteria,3974385,3974385,39,0,58,58,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365805.1,PRJNA433073,SAMN08471746,PRGM00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S96,na,latest,Scaffold,Major,Full,2019/6/19,ASM636580v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/805/GCA_006365805.1_ASM636580v1,na,na,na,haploid,bacteria,3947840,3946709,39,0,87,87,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365845.1,PRJNA433073,SAMN08471781,PRFD00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S07,na,latest,Contig,Major,Full,2019/6/19,ASM636584v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/845/GCA_006365845.1_ASM636584v1,na,na,na,haploid,bacteria,3964795,3964795,39,0,52,52,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365865.1,PRJNA433073,SAMN08471774,PRFK00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S41,na,latest,Contig,Major,Full,2019/6/19,ASM636586v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/865/GCA_006365865.1_ASM636586v1,na,na,na,haploid,bacteria,3930883,3930883,39,0,55,55,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365885.1,PRJNA433073,SAMN08471770,PRFO00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S38,na,latest,Contig,Major,Full,2019/6/19,ASM636588v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/885/GCA_006365885.1_ASM636588v1,na,na,na,haploid,bacteria,4034860,4034860,39,0,69,69,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365895.1,PRJNA433073,SAMN08471771,PRFN00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S39,na,latest,Contig,Major,Full,2019/6/19,ASM636589v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/895/GCA_006365895.1_ASM636589v1,na,na,na,haploid,bacteria,3948537,3948537,39,0,63,63,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365935.1,PRJNA433073,SAMN08471759,PRFZ00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S26,na,latest,Contig,Major,Full,2019/6/19,ASM636593v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365935.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/935/GCA_006365935.1_ASM636593v1,na,na,na,haploid,bacteria,3972991,3972991,39,0,55,55,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365945.1,PRJNA433073,SAMN08471767,PRFR00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S34,na,latest,Contig,Major,Full,2019/6/19,ASM636594v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/945/GCA_006365945.1_ASM636594v1,na,na,na,haploid,bacteria,4016981,4016981,39,0,67,67,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365955.1,PRJNA433073,SAMN08471756,PRGC00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S20,na,latest,Contig,Major,Full,2019/6/19,ASM636595v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365955.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/955/GCA_006365955.1_ASM636595v1,na,na,na,haploid,bacteria,3958135,3958135,39,0,52,52,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006365975.1,PRJNA433073,SAMN08471757,PRGB00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S22,na,latest,Contig,Major,Full,2019/6/19,ASM636597v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006365975.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/365/975/GCA_006365975.1_ASM636597v1,na,na,na,haploid,bacteria,4043111,4043111,39,0,42,42,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006366035.1,PRJNA433073,SAMN08471751,PRGH00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S14,na,latest,Contig,Major,Full,2019/6/19,ASM636603v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006366035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/366/035/GCA_006366035.1_ASM636603v1,na,na,na,haploid,bacteria,3975981,3975981,39,0,51,51,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006366055.1,PRJNA433073,SAMN08471753,PRGF00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S16,na,latest,Contig,Major,Full,2019/6/19,ASM636605v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006366055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/366/055/GCA_006366055.1_ASM636605v1,na,na,na,haploid,bacteria,3970571,3970571,39,0,52,52,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006366065.1,PRJNA433073,SAMN08471749,PRGJ00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S12,na,latest,Contig,Major,Full,2019/6/19,ASM636606v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006366065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/366/065/GCA_006366065.1_ASM636606v1,na,na,na,haploid,bacteria,3975147,3975147,39,0,54,54,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006366085.1,PRJNA433073,SAMN08471743,PRGP00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S92,na,latest,Scaffold,Major,Full,2019/6/19,ASM636608v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006366085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/366/085/GCA_006366085.1_ASM636608v1,na,na,na,haploid,bacteria,3950362,3949592,39,0,78,78,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006366115.1,PRJNA433073,SAMN08471734,PRGY00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S37,na,latest,Contig,Major,Full,2019/6/19,ASM636611v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006366115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/366/115/GCA_006366115.1_ASM636611v1,na,na,na,haploid,bacteria,3951820,3951820,39,0,57,57,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
GCA_006366135.1,PRJNA433073,SAMN08471739,PRGT00000000.1,na,470,470,Acinetobacter baumannii,strain=AB-HZ-S09,na,latest,Contig,Major,Full,2019/6/19,ASM636613v1,The First Affiliated Hospital, College of Medicine Zhejiang University,GCF_006366135.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/366/135/GCA_006366135.1_ASM636613v1,na,na,na,haploid,bacteria,3969952,3969952,39,0,54,54,The First Affiliated Hospital, College of Medicine Zhejiang University,Annotation submitted by The First Affiliated Hospital, College of Medicine Zhejiang University,2019/6/19,0,0,0,na,,,,,,
